antecedents,consequents,support,confidence,lift
frozenset({'dessert'}),frozenset({'curd'}),0.0010024727661565194,0.042492917847025496,1.2615506542560369
frozenset({'frozen meals'}),frozenset({'sausage'}),0.0012697988371315912,0.07569721115537849,1.2543270991339184
frozenset({'sausage'}),frozenset({'frozen meals'}),0.0012697988371315912,0.02104097452934662,1.2543270991339182
frozenset({'yogurt'}),frozenset({'herbs'}),0.0011361358016440553,0.013229571984435798,1.2528739595133724
frozenset({'herbs'}),frozenset({'yogurt'}),0.0011361358016440553,0.10759493670886075,1.2528739595133722
frozenset({'tropical fruit'}),frozenset({'cat food'}),0.0010024727661565194,0.014792899408284025,1.250543242068666
frozenset({'cat food'}),frozenset({'tropical fruit'}),0.0010024727661565194,0.08474576271186442,1.250543242068666
frozenset({'oil'}),frozenset({'soda'}),0.001804450979081735,0.12107623318385649,1.246843549298035
frozenset({'soda'}),frozenset({'oil'}),0.001804450979081735,0.01858224363386098,1.246843549298035
frozenset({'margarine'}),frozenset({'butter'}),0.001403461872619127,0.043568464730290454,1.2370302424275825
frozenset({'butter'}),frozenset({'margarine'}),0.001403461872619127,0.039848197343453504,1.2370302424275825
frozenset({'specialty chocolate'}),frozenset({'tropical fruit'}),0.0013366303548753592,0.08368200836820083,1.2348460465615279
frozenset({'tropical fruit'}),frozenset({'specialty chocolate'}),0.0013366303548753592,0.019723865877712035,1.2348460465615279
frozenset({'root vegetables'}),frozenset({'sliced cheese'}),0.0012029673193878234,0.01729106628242075,1.2320296418279129
frozenset({'sliced cheese'}),frozenset({'root vegetables'}),0.0012029673193878234,0.08571428571428572,1.2320296418279126
frozenset({'coffee'}),frozenset({'frankfurter'}),0.0014702933903628951,0.046511627906976744,1.231776085614324
frozenset({'frankfurter'}),frozenset({'coffee'}),0.0014702933903628951,0.03893805309734514,1.231776085614324
"frozenset({'whole milk', 'sausage'})",frozenset({'soda'}),0.0010693042839002875,0.11940298507462688,1.2296124333596987
frozenset({'soda'}),"frozenset({'whole milk', 'sausage'})",0.0010693042839002875,0.011011699931176877,1.2296124333596985
frozenset({'sausage'}),frozenset({'grapes'}),0.0010693042839002875,0.017718715393134,1.2274311964234448
frozenset({'grapes'}),frozenset({'sausage'}),0.0010693042839002875,0.07407407407407408,1.2274311964234446
frozenset({'sausage'}),frozenset({'frozen vegetables'}),0.0020717770500568067,0.03433001107419712,1.2259664813919129
frozenset({'frozen vegetables'}),frozenset({'sausage'}),0.0020717770500568067,0.07398568019093078,1.2259664813919129
frozenset({'bottled beer'}),frozenset({'sausage'}),0.003341575887188398,0.07374631268436578,1.2220000849348451
frozenset({'sausage'}),frozenset({'bottled beer'}),0.003341575887188398,0.05537098560354374,1.2220000849348451
frozenset({'curd'}),frozenset({'chicken'}),0.0011361358016440553,0.033730158730158735,1.2103222184157438
frozenset({'chicken'}),frozenset({'curd'}),0.0011361358016440553,0.0407673860911271,1.2103222184157438
